Instance,SplitCA,,HSCA,,AutoCCAG,
,size,time,size,time,size,time
sparc_erc32.cnf,4925,26689.4,- -,- -,- -,- -
sparc_leon.cnf,4928,26764.1,- -,- -,- -,- -
sparclite_sim.cnf,4947,26279.4,- -,- -,- -,- -
stb.cnf,5495,36019.8,- -,- -,- -,- -
stdeval1.cnf,5366,29106.1,- -,- -,- -,- -
stm3210e_eval.cnf,5376,37399.4,- -,- -,- -,- -
toybox.cnf,185,959.0,203,5485.7,- -,- -
ts1000.cnf,5820,40732.5,- -,- -,- -,- -
ts6.cnf,5837,33993.7,- -,- -,- -,- -
tx39_sim.cnf,4960,28657.7,- -,- -,- -,- -
uClinux.cnf,- -,- -,- -,- -,- -,- -
uE250.cnf,5656,35707.7,- -,- -,- -,- -
vads.cnf,5836,34601.6,- -,- -,- -,- -
viper.cnf,5863,41944.4,- -,- -,- -,- -
vrc4373.cnf,5346,34120.2,- -,- -,- -,- -
vrc4375.cnf,5998,36512.2,- -,- -,- -,- -
